,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_Accuracy,split1_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Sensitivity,split1_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity
Normal,0,74.93276405334473,2.015348434448242,1.7944194078445435,0.07397568225860596,0.6682453828538985,0.07175438514677673,9,1,216,0.3022661041695039,"{'colsample_bytree': 0.6682453828538985, 'learning_rate': 0.07175438514677673, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 216, 'subsample': 0.3022661041695039}",0.8082389870560435,0.6614462081128748,0.734846480785849,0.07339638936885957,4,0.9948500881834215,0.998553944908828,0.9967020165461247,0.001851928362703259,0.6583311397736247,0.6873716632443532,0.6728506332818192,0.014520261715041853,2,0.9869689396644056,0.9953021838496698,0.9911355617570377,0.004166622092632133,0.6377661609078159,0.2421776089708808,0.4399823496912646,0.1977942756916369,9,1.0,0.9994899910748438,0.9997449955374219,0.00025500446257809006
Normal,1,142.5313996076584,3.6023346185684204,2.9220545291900635,0.11496281623840332,0.5866058677254014,0.06326861935989113,8,3,437,0.448733181639569,"{'colsample_bytree': 0.5866058677254014, 'learning_rate': 0.06326861935989113, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 437, 'subsample': 0.448733181639569}",0.8192431136034988,0.6627865961199294,0.7410189937040368,0.07822825863229729,1,0.9976719576719577,0.9996825732726695,0.9986772654723136,0.0010053078003559035,0.6921119592875318,0.7011278195488722,0.6966196509159994,0.004507930124360942,1,0.994066882416397,0.9993625701172871,0.9967147262668421,0.0026478438504450863,0.6242509243911768,0.23611864713329717,0.43019505326864554,0.19406613835732703,10,1.0,0.9994899910748438,0.9997449955374219,0.00025500446257809006
Normal,2,9.792833685874939,0.016994357109069824,0.2934039831161499,0.0004991292953491211,0.8266761332124156,0.023229781058976415,3,2,52,0.4547374144711445,"{'colsample_bytree': 0.8266761332124156, 'learning_rate': 0.023229781058976415, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 52, 'subsample': 0.4547374144711445}",0.43385179698797305,0.5972486772486773,0.5155459146782357,0.08169844001600789,10,0.6156613756613757,0.735266109406412,0.6754637425338939,0.059802366872518165,0.320787669737589,0.48626373626373626,0.40352132555855574,0.08273803314727442,10,0.5039612676056338,0.5115213675213676,0.5077413175635006,0.0037800499578669045,0.9367588932806324,0.5762344004340749,0.756506184037737,0.18026224617098577,1,0.9319045035268584,0.9538441922733648,0.9428743479001116,0.010969844373253212
Normal,3,19.529683351516724,0.33889079093933105,0.5018380880355835,0.029988646507263184,0.5136316980437453,0.043297858433944555,7,3,67,0.6417121909154924,"{'colsample_bytree': 0.5136316980437453, 'learning_rate': 0.043297858433944555, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 67, 'subsample': 0.6417121909154924}",0.6873346735795154,0.6681834215167548,0.6777595541682098,0.009575626017978352,8,0.8752028218694885,0.9443445138080626,0.9097736678387756,0.034570845969287056,0.4635572671516189,0.6250568095743069,0.5443027661143405,0.08074977109832752,8,0.7630474324891563,0.8349909100630949,0.7990191712761257,0.0359717387869693,0.8287645033788091,0.3731235304756737,0.6009560702834897,0.22782048613271275,3,0.9863447277988786,0.9955374219048834,0.990941074851881,0.004596347053002381
Normal,4,36.683635234832764,0.6282966136932373,0.7557551860809326,0.0010001659393310547,0.5630323947631594,0.07183778434686487,7,3,117,0.7179118736481308,"{'colsample_bytree': 0.5630323947631594, 'learning_rate': 0.07183778434686487, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 117, 'subsample': 0.7179118736481308}",0.7685959157761083,0.6718165784832452,0.7202088072941467,0.048389668578705934,7,0.9525573192239859,0.9839170458152576,0.9682371825196218,0.015679863295635865,0.5596945427453902,0.6730465666929756,0.6163675561470452,0.05667601189446957,6,0.8931433659839715,0.9454830539138825,0.919313209948927,0.02616984396495553,0.7662884100471758,0.30846446011937056,0.5373885461871811,0.22891197464352,5,0.9977391933441853,0.9994899910748438,0.9986145922095145,0.0008753988653292799
Normal,5,48.01447010040283,1.8244097232818604,1.10214364528656,0.06747806072235107,0.5613862266219819,0.04523078606251519,9,1,141,0.38383742180264824,"{'colsample_bytree': 0.5613862266219819, 'learning_rate': 0.04523078606251519, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 141, 'subsample': 0.38383742180264824}",0.7868655874157937,0.669700176366843,0.7282859813413752,0.058582705442483674,5,0.9757319223985891,0.9879730539978133,0.9818524881982011,0.006120565799612121,0.5941816659690247,0.6769745089845383,0.6355758973058112,0.04139642144981883,5,0.9421043656207367,0.9587818003913894,0.9504430830060631,0.008338717385326322,0.723957669259212,0.29300054259359737,0.5084905063053969,0.21547856303122595,6,0.9991861096039066,0.9994899910748438,0.9993380503393752,0.000151940735468592
Normal,6,50.121288895606995,0.2994033098220825,0.7777484655380249,0.0019987821578979492,0.8049096966603417,0.07355744397433774,5,3,181,0.41393109171493353,"{'colsample_bytree': 0.8049096966603417, 'learning_rate': 0.07355744397433774, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 181, 'subsample': 0.41393109171493353}",0.7672909392304166,0.6732627865961199,0.720279350298926,0.04701407625134795,6,0.9291710758377425,0.9782739039960499,0.9537224899168961,0.024551414079153677,0.5536684196913527,0.6782522343594836,0.6159570313316806,0.06229190724688237,7,0.8497990105132962,0.9280890889705011,0.8889440497418987,0.03914503922860246,0.8188193293382634,0.30882618918430094,0.5638362504294784,0.25499656972009094,4,0.9941219026948815,0.9988524799183985,0.99648719130664,0.002365288611758498
Normal,7,11.481787919998169,0.03148841857910156,0.31439733505249023,0.0015010833740234375,0.7571969243320458,0.03882389000837821,3,1,59,0.8200168872554974,"{'colsample_bytree': 0.7571969243320458, 'learning_rate': 0.03882389000837821, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 59, 'subsample': 0.8200168872554974}",0.46506542517546645,0.6435273368606702,0.5542916600532599,0.08923095571771524,9,0.6455731922398589,0.7938137057806934,0.7196934490102762,0.07412025677041728,0.3340734028092433,0.5428906109208866,0.4384764828925738,0.10440860390969256,9,0.5250396667988894,0.5779165040967617,0.5514780854478255,0.026438418648936146,0.9400739512941476,0.5448544040513655,0.7424746326631604,0.1976097733448186,2,0.9575872671369144,0.9442815249266863,0.9509343960318004,0.006652871105114089
Normal,8,222.90492177009583,2.4821972846984863,2.7545911073684692,0.07347595691680908,0.8135176384957379,0.03007122098671064,8,1,410,0.9990550902452375,"{'colsample_bytree': 0.8135176384957379, 'learning_rate': 0.03007122098671064, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 410, 'subsample': 0.9990550902452375}",0.8051352590554791,0.6687125220458554,0.7369274994268381,0.06821136840934398,3,0.9932627865961199,0.9981307092723875,0.9956967479342537,0.0024339613381337832,0.6301954616940013,0.7037671232876712,0.6669793462535579,0.03678583074534992,4,0.9830207129522625,0.9937880324543611,0.9884043727033118,0.005383659751049319,0.7152875175315568,0.26017362995116655,0.48774261315429174,0.227556943471709,8,1.0,0.9994899910748438,0.9997449955374219,0.00025500446257809006
Normal,9,104.518195271492,1.1446298360824585,1.5949835777282715,0.0074977874755859375,0.7214279129554753,0.07285897605879817,6,3,300,0.7849848060229447,"{'colsample_bytree': 0.7214279129554753, 'learning_rate': 0.07285897605879817, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.7849848060229447}",0.8112369061474977,0.669700176366843,0.7404722854169974,0.07076836479128074,2,0.9883597883597883,0.9974605861813565,0.9929101872705723,0.00455039891078407,0.6414215964573634,0.7021479713603819,0.6717831774760146,0.03036318740901326,3,0.9711048656244511,0.9914000252940433,0.9812524454592472,0.010147579834796083,0.7202601045518296,0.26605172725628506,0.4931679313629562,0.22710418832991985,7,0.9999095677337674,0.9994899910748438,0.9996997794043057,0.00020978832946177972
